Export of VMir File Data
------------------------
VMir File              :	sequence_no_header_no_whitespace.mir
VMir Analyzer Version  :	2.3

Source File:
------------------------------------
File Name              :	sequence_no_header_no_whitespace.fasta
Sequence Size          :	29903
Sequence Orientation(s):	Both
Sequence Conformation  :	Direct

VMir Analysis Prediction Parameters:
------------------------------------
Max. Size Calc.Score   :	100
Max. Size Assign SHPs  :	50
Max. Size Assign RHPs  :	50
Filters: Min. HP Size  :	70
         Max. HP Size  :	Any
         Min. HP Score :	115
Total # of Hairpins    :	296

VMir Viewer Parameters
----------------------
Filters: Min. HP Size  :	Any
         Max. HP Size  :	Any
         Min. HP Score :	Any
         Min. Wind.Cnt.:	Any
         HP Classes    :	Main-Hairpins
# of Filtered Hairpins :	222

Hairpins:
Rank	Name	Orientation	Start	Apex	Size	Score	Sub HPs	Rep HPs	Wind.Cnt.Abs.	Wind.Cnt.Rel.	
121	MD1	Direct	407	445	72	137.3	0	0	3	3	
85	MD2	Direct	443	490	97	150.6	0	0	1	1	
194	MD3	Direct	596	640	87	120.6	0	0	1	1	
114	MD4	Direct	651	692	75	140.3	0	0	3	3	
95	MD5	Direct	1083	1124	86	147.3	0	0	1	1	
111	MD6	Direct	1202	1242	75	141.1	0	0	1	1	
65	MD7	Direct	1489	1531	86	156.7	1	0	1	2	
184	MD8	Direct	1821	1872	97	123.2	1	0	1	2	
117	MD9	Direct	2061	2110	95	137.8	1	0	1	2	
44	MD10	Direct	2112	2162	94	167.5	1	0	1	3	
103	MD11	Direct	2167	2212	86	144.8	0	0	1	1	
26	MD12	Direct	2310	2348	75	182.5	0	0	1	1	
18	MD13	Direct	2826	2864	79	189.7	0	0	1	1	
54	MD14	Direct	2868	2910	89	160.9	0	0	1	1	
2	MD15	Direct	2926	2974	94	221.3	1	0	1	3	
165	MD16	Direct	3001	3047	94	126.6	0	0	1	1	
196	MD17	Direct	3197	3236	76	120.4	0	0	2	2	
191	MD18	Direct	3623	3676	98	121.1	0	0	1	1	
181	MD19	Direct	3965	4004	84	123.2	0	0	2	2	
202	MD20	Direct	4108	4150	85	119.5	0	0	1	1	
198	MD21	Direct	4112	4158	95	120.2	0	0	1	1	
28	MD22	Direct	4442	4486	93	181.1	1	0	1	2	
214	MD23	Direct	4621	4668	97	117	0	0	1	1	
204	MD24	Direct	5143	5182	92	119.5	0	0	1	1	
220	MD25	Direct	5318	5364	82	115.8	1	0	1	3	
58	MD26	Direct	5345	5394	94	159.6	1	0	1	2	
71	MD27	Direct	5371	5422	99	155.2	1	0	1	2	
172	MD28	Direct	5463	5498	72	125.4	0	0	1	1	
153	MD29	Direct	5564	5597	72	130.2	0	0	1	1	
127	MD30	Direct	6134	6177	91	136.3	0	0	1	1	
189	MD31	Direct	6285	6326	84	122.3	0	0	1	1	
141	MD32	Direct	6822	6866	98	132.5	0	0	1	1	
211	MD33	Direct	6966	7008	90	117.3	0	0	1	1	
91	MD34	Direct	7269	7308	86	147.9	0	0	1	1	
215	MD35	Direct	7391	7436	83	117	1	0	1	2	
199	MD36	Direct	7451	7490	90	120.1	0	0	1	1	
169	MD37	Direct	7521	7562	79	126.1	0	0	1	1	
125	MD38	Direct	7541	7578	72	136.9	0	0	1	1	
6	MD39	Direct	7652	7702	95	210.1	0	0	1	1	
15	MD40	Direct	7723	7764	89	191.5	0	0	1	1	
1	MD41	Direct	7948	7992	92	233.9	0	0	1	1	
39	MD42	Direct	8144	8180	78	170.2	0	0	1	1	
14	MD43	Direct	8525	8575	95	191.9	0	0	1	1	
171	MD44	Direct	8560	8598	79	125.5	1	0	2	3	
201	MD45	Direct	8678	8716	90	119.8	0	0	1	1	
221	MD46	Direct	8824	8870	94	115.8	1	0	1	2	
151	MD47	Direct	8902	8950	97	130.5	0	0	1	1	
160	MD48	Direct	8994	9030	75	127.6	0	0	1	1	
222	MD49	Direct	9014	9062	93	115.6	1	0	1	2	
81	MD50	Direct	9271	9316	97	151.9	0	0	1	1	
197	MD51	Direct	9383	9430	92	120.2	0	0	1	1	
136	MD52	Direct	9445	9490	94	133.8	1	0	1	3	
145	MD53	Direct	9462	9506	91	132.1	0	0	1	1	
146	MD54	Direct	9595	9630	80	131.8	0	0	1	1	
144	MD55	Direct	9712	9758	96	132.5	1	0	1	2	
12	MD56	Direct	9814	9858	91	194.4	1	0	1	3	
45	MD57	Direct	10070	10114	89	166.8	1	0	1	2	
82	MD58	Direct	10191	10230	91	151.6	1	0	1	2	
130	MD59	Direct	10234	10282	89	134.9	0	0	1	1	
74	MD60	Direct	10421	10470	92	154.1	1	0	1	2	
31	MD61	Direct	10846	10886	86	180.7	0	0	1	1	
27	MD62	Direct	10885	10926	87	181.1	0	0	1	1	
162	MD63	Direct	10960	11002	88	127	0	0	1	1	
105	MD64	Direct	11171	11216	93	143.7	0	0	1	1	
17	MD65	Direct	11241	11286	89	190.7	0	0	2	2	
50	MD66	Direct	11409	11448	78	163	0	0	2	2	
122	MD67	Direct	12008	12044	72	137.3	0	0	1	1	
46	MD68	Direct	12511	12556	92	166.3	1	0	1	2	
35	MD69	Direct	12564	12602	77	173.9	0	0	2	2	
94	MD70	Direct	13001	13048	98	147.4	1	0	1	2	
128	MD71	Direct	13043	13088	88	136.2	1	0	1	2	
177	MD72	Direct	13168	13219	93	124	1	0	1	2	
52	MD73	Direct	13216	13258	81	161.1	0	0	1	1	
190	MD74	Direct	13232	13284	99	121.7	0	0	1	1	
126	MD75	Direct	13368	13408	81	136.4	0	0	1	1	
163	MD76	Direct	14017	14062	93	126.7	0	0	1	1	
134	MD77	Direct	14195	14230	75	133.9	0	0	2	2	
25	MD78	Direct	14364	14410	90	183.2	1	0	1	2	
183	MD79	Direct	14391	14438	98	123.2	0	0	1	1	
159	MD80	Direct	14557	14600	85	127.7	0	0	1	1	
98	MD81	Direct	14866	14908	80	146.3	0	0	1	1	
4	MD82	Direct	15591	15638	97	213.7	0	0	1	1	
217	MD83	Direct	15697	15739	86	116.8	0	0	1	1	
115	MD84	Direct	15937	15977	81	140.1	0	0	1	1	
32	MD85	Direct	15952	15988	76	176.8	0	0	1	1	
88	MD86	Direct	16096	16140	92	148.5	0	0	1	1	
156	MD87	Direct	16191	16233	97	129.3	0	0	1	1	
92	MD88	Direct	16472	16511	79	147.7	0	0	1	1	
213	MD89	Direct	16631	16672	91	117.1	0	0	1	1	
200	MD90	Direct	17048	17083	73	119.8	0	0	3	3	
80	MD91	Direct	17312	17361	94	152.2	0	0	1	1	
42	MD92	Direct	17561	17610	90	169.8	1	0	2	3	
118	MD93	Direct	17607	17641	71	137.5	0	0	1	1	
63	MD94	Direct	17971	18020	91	157.5	0	0	1	1	
155	MD95	Direct	18574	18616	88	129.4	1	0	1	2	
60	MD96	Direct	18695	18743	96	158.4	0	0	1	1	
143	MD97	Direct	18777	18820	90	132.5	1	0	1	2	
207	MD98	Direct	18863	18898	82	118.5	0	0	1	1	
186	MD99	Direct	19046	19086	75	123.1	0	0	2	2	
135	MD100	Direct	19230	19270	85	133.9	0	0	1	1	
3	MD101	Direct	19413	19460	91	218.4	1	0	1	2	
56	MD102	Direct	19475	19519	89	159.8	1	0	1	3	
175	MD103	Direct	19843	19888	95	124.2	0	0	1	1	
170	MD104	Direct	19993	20042	98	125.7	2	0	1	3	
86	MD105	Direct	20264	20309	91	149.2	2	0	1	3	
97	MD106	Direct	20324	20362	76	147	0	0	1	1	
90	MD107	Direct	20434	20480	96	147.9	1	0	1	2	
30	MD108	Direct	20504	20546	85	180.8	0	0	1	1	
64	MD109	Direct	20985	21032	91	157.3	1	0	1	2	
5	MD110	Direct	21138	21184	89	211.3	1	0	1	3	
59	MD111	Direct	21412	21464	97	158.5	0	0	1	1	
72	MD112	Direct	21482	21518	74	155.2	1	0	1	2	
138	MD113	Direct	21845	21889	95	133.7	0	0	1	1	
68	MD114	Direct	22063	22104	86	156.2	0	0	2	2	
102	MD115	Direct	22697	22742	92	145.3	0	0	1	1	
22	MD116	Direct	22753	22802	97	187.8	0	0	1	1	
193	MD117	Direct	22901	22950	98	120.6	1	0	1	2	
66	MD118	Direct	22953	22997	89	156.3	0	0	1	1	
110	MD119	Direct	23012	23062	92	141.7	0	0	1	1	
178	MD120	Direct	23343	23378	73	123.4	0	0	1	1	
179	MD121	Direct	23499	23540	79	123.3	0	0	1	1	
9	MD122	Direct	23593	23634	85	202.5	0	0	2	2	
206	MD123	Direct	23981	24024	77	118.8	0	0	3	3	
57	MD124	Direct	24261	24312	99	159.7	0	0	1	1	
69	MD125	Direct	24522	24566	97	155.2	1	0	1	3	
116	MD126	Direct	24788	24833	86	138.7	1	0	1	2	
109	MD127	Direct	24882	24922	80	141.9	0	0	1	1	
139	MD128	Direct	25594	25642	96	133.7	0	0	1	1	
8	MD129	Direct	25875	25919	89	205.9	0	0	1	1	
13	MD130	Direct	25953	25998	88	194.1	2	0	1	3	
48	MD131	Direct	26056	26096	92	164.2	2	0	1	3	
29	MD132	Direct	26755	26801	94	180.9	0	0	1	1	
19	MD133	Direct	26915	26958	85	188.2	1	0	2	3	
43	MD134	Direct	27008	27058	93	167.7	1	0	1	2	
164	MD135	Direct	27308	27344	79	126.6	0	0	2	2	
77	MD136	Direct	27676	27721	94	153.5	0	0	1	1	
129	MD137	Direct	27981	28028	100	135.7	0	0	1	1	
38	MD138	Direct	28196	28233	72	170.4	0	0	1	1	
210	MD139	Direct	29536	29582	86	117.3	0	0	1	1	
133	MD140	Direct	29593	29642	94	134.1	0	0	1	1	
166	MR1	Reverse	396	445	90	126.3	0	0	1	1	
37	MR2	Reverse	741	788	95	171.3	0	0	1	1	
180	MR3	Reverse	894	940	90	123.2	0	0	1	1	
149	MR4	Reverse	1004	1050	92	130.7	0	0	1	1	
55	MR5	Reverse	1191	1242	97	160.5	0	0	1	1	
79	MR6	Reverse	1603	1652	89	152.7	0	0	1	1	
167	MR7	Reverse	1828	1872	92	126.3	0	0	1	1	
20	MR8	Reverse	1952	2002	99	188.1	1	0	1	2	
152	MR9	Reverse	2534	2578	90	130.4	1	0	1	3	
